Date/Time,BLOCK 1 RESIDENTIAL_2 STOREY 0:Zone Lights Electricity Energy [J](Hourly),BLOCK 1 RESIDENTIAL_2 STOREY 1:Zone Lights Electricity Energy [J](Hourly),BLOCK 1 RESIDENTIAL_2 STOREY 2:Zone Lights Electricity Energy [J](Hourly),BLOCK 1 RESIDENTIAL_2 STOREY 3:Zone Lights Electricity Energy [J](Hourly),BLOCK 1 RESIDENTIAL_2 STOREY 4:Zone Lights Electricity Energy [J](Hourly),BLOCK 1 RESIDENTIAL_2 STOREY 5:Zone Lights Electricity Energy [J](Hourly),BLOCK 1 RESIDENTIAL_2 STOREY 6:Zone Lights Electricity Energy [J](Hourly),BLOCK 1 RESIDENTIAL_2 STOREY 7:Zone Lights Electricity Energy [J](Hourly),BLOCK 1 RESIDENTIAL_2 STOREY 0:Zone Electric Equipment Electricity Energy [J](Hourly),BLOCK 1 RESIDENTIAL_2 STOREY 1:Zone Electric Equipment Electricity Energy [J](Hourly),BLOCK 1 RESIDENTIAL_2 STOREY 2:Zone Electric Equipment Electricity Energy [J](Hourly),BLOCK 1 RESIDENTIAL_2 STOREY 3:Zone Electric Equipment Electricity Energy [J](Hourly),BLOCK 1 RESIDENTIAL_2 STOREY 4:Zone Electric Equipment Electricity Energy [J](Hourly),BLOCK 1 RESIDENTIAL_2 STOREY 5:Zone Electric Equipment Electricity Energy [J](Hourly),BLOCK 1 RESIDENTIAL_2 STOREY 6:Zone Electric Equipment Electricity Energy [J](Hourly),BLOCK 1 RESIDENTIAL_2 STOREY 7:Zone Electric Equipment Electricity Energy [J](Hourly),BLOCK 1 RESIDENTIAL_2 STOREY 0 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),BLOCK 1 RESIDENTIAL_2 STOREY 0 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),BLOCK 1 RESIDENTIAL_2 STOREY 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),BLOCK 1 RESIDENTIAL_2 STOREY 1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),BLOCK 1 RESIDENTIAL_2 STOREY 2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),BLOCK 1 RESIDENTIAL_2 STOREY 2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),BLOCK 1 RESIDENTIAL_2 STOREY 3 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),BLOCK 1 RESIDENTIAL_2 STOREY 3 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),BLOCK 1 RESIDENTIAL_2 STOREY 4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),BLOCK 1 RESIDENTIAL_2 STOREY 4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),BLOCK 1 RESIDENTIAL_2 STOREY 5 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),BLOCK 1 RESIDENTIAL_2 STOREY 5 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),BLOCK 1 RESIDENTIAL_2 STOREY 6 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),BLOCK 1 RESIDENTIAL_2 STOREY 6 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly),BLOCK 1 RESIDENTIAL_2 STOREY 7 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),BLOCK 1 RESIDENTIAL_2 STOREY 7 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly) 
 01/01  21:00:00,6753425.880625883,6753425.880625883,6753425.880625883,6753425.880625883,6753425.880625883,6753425.880625883,6753425.880625883,6753425.880625883,4619343.302348103,4619343.302348103,4619343.302348103,4619343.302348103,4619343.302348103,4619343.302348103,4619343.302348103,4619343.302348103,15717881.503801059,0.0,32854468.217024386,0.0,33521636.63819204,0.0,33989678.4949428,0.0,34356337.19307986,0.0,34664620.209761016,0.0,32328604.72498462,0.0,32628333.877377972,0.0 
 01/01  22:00:00,6753425.880625883,6753425.880625883,6753425.880625883,6753425.880625883,6753425.880625883,6753425.880625883,6753425.880625883,6753425.880625883,4619343.302348103,4619343.302348103,4619343.302348103,4619343.302348103,4619343.302348103,4619343.302348103,4619343.302348103,4619343.302348103,13327389.979348041,0.0,29865008.63892681,0.0,30479404.55756755,0.0,30909515.070735168,0.0,31247248.018252794,0.0,31531163.511103384,0.0,30285188.13310146,0.0,30546008.20892421,0.0 
 01/01  23:00:00,675342.5880625882,675342.5880625882,675342.5880625882,675342.5880625882,675342.5880625882,675342.5880625882,675342.5880625882,675342.5880625882,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,22273270.609256968,0.0,38064455.966008335,0.0,38604866.318693966,0.0,38981852.7585492,0.0,39277630.09220148,0.0,39526214.92704294,0.0,38994693.700409696,0.0,39211166.26151376,0.0 
 01/01  24:00:00,675342.5880625882,675342.5880625882,675342.5880625882,675342.5880625882,675342.5880625882,675342.5880625882,675342.5880625882,675342.5880625882,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,24108512.4930336,0.0,39384600.538579375,0.0,39876675.774129614,0.0,40218980.31384435,0.0,40487558.441507176,0.0,40713318.71337123,0.0,40720620.97695838,0.0,40905896.87381399,0.0 
 01/02  01:00:00,675342.5880625882,675342.5880625882,675342.5880625882,675342.5880625882,675342.5880625882,675342.5880625882,675342.5880625882,675342.5880625882,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,25986654.308788024,0.0,40992362.28492229,0.0,41441480.13109779,0.0,41752680.41758386,0.0,41997528.40814236,0.0,42203674.00970469,0.0,42665506.96165788,0.0,42823984.722062476,0.0 
 01/02  02:00:00,675342.5880625882,675342.5880625882,675342.5880625882,675342.5880625882,675342.5880625882,675342.5880625882,675342.5880625882,675342.5880625882,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,28258347.13844113,0.0,43159104.84762227,0.0,43571602.024914086,0.0,43856622.35383627,0.0,44080644.82818836,0.0,44269323.41134174,0.0,45134745.90586492,0.0,45270335.568734415,0.0 
 01/02  03:00:00,675342.5880625882,675342.5880625882,675342.5880625882,675342.5880625882,675342.5880625882,675342.5880625882,675342.5880625882,675342.5880625882,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,30748913.42763123,0.0,45626464.583049424,0.0,45999115.61631709,0.0,46255881.17848055,0.0,46457632.82874203,0.0,46627734.90717186,0.0,47887500.22160992,0.0,48000397.32534546,0.0 
 01/02  04:00:00,675342.5880625882,675342.5880625882,675342.5880625882,675342.5880625882,675342.5880625882,675342.5880625882,675342.5880625882,675342.5880625882,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,32964025.617869433,0.0,47911423.12081759,0.0,48251935.817635156,0.0,48486071.84485205,0.0,48670105.101102374,0.0,48825400.450642504,0.0,50523771.96645353,0.0,50618359.69400054,0.0 
 01/02  05:00:00,675342.5880625882,675342.5880625882,675342.5880625882,675342.5880625882,675342.5880625882,675342.5880625882,675342.5880625882,675342.5880625882,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,34848160.92757869,0.0,49956991.90982948,0.0,50269184.29221406,0.0,50484298.15311456,0.0,50653835.17522257,0.0,50797230.97192558,0.0,52980791.4049683,0.0,53062908.00415621,0.0 
 01/02  06:00:00,5402740.704500706,5402740.704500706,5402740.704500706,5402740.704500706,5402740.704500706,5402740.704500706,5402740.704500706,5402740.704500706,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,1026520.7338551341,33844571.4142893,0.0,49125864.54560028,0.0,49406298.666214995,0.0,49600222.15822526,0.0,49753605.68010802,0.0,49883732.746172905,0.0,52561248.63460057,0.0,52633524.23460442,0.0 
